Path,Group,Total rate (Hz),,,QCDPt15to30,,,QCDPt30to50,,,QCDPt50to80,,,QCDPt80to120,,,QCDPt120to170,,,QCDPt170to300,,,QCDPt300to470,,,QCDPt470to600,,,QCDPt600to800,,,QCDPt800to1000,,,QCDPt1000to1400,,,QCDPt1400to1800,,,QCDPt1800,,,DYToEE,,,DYToMuMu,,,WToENu,,,WToMuNu,,,QCDEMPt30to80,,,QCDEMPt80to120,,,QCDMuPt30to50,,,QCDMuPt50to80,,,QCDMuPt80to120,,,,Total QCD rate (Hz),,,Total QCD 30to80,,,Total QCD 80to170,,,Total EW rate (Hz),,
HLT_Mu8_v1,none,10.55,±,4.83,8.36,±,4.83,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.04,±,0.02,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.04,±,0.04,0.06,±,0.03,1.52,±,0.14,0.33,±,0.07,0.12,±,0.06,,,,,,,,,,,,,
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v2,HIG,10.15,±,0.61,0.00,±,0.00,0.68,±,0.39,1.11,±,0.19,0.60,±,0.09,0.13,±,0.04,0.08,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,2.97,±,0.04,0.00,±,0.00,0.06,±,0.01,0.00,±,0.00,3.70,±,0.39,0.75,±,0.10,0.00,±,0.00,0.04,±,0.02,0.02,±,0.02,,,,,,,,,,,,,
HLT_BTagMu_DiJet110_Mu5_v2,BTV,10.09,±,0.37,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.15,±,0.04,4.02,±,0.22,4.46,±,0.24,0.00,±,0.00,0.06,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.04,0.89,±,0.11,0.00,±,0.00,0.00,±,0.00,0.47,±,0.11,,,,,,,,,,,,,
HLT_HT550_DisplacedDijet40_Inclusive_v2,EXO,9.90,±,2.81,2.79,±,2.79,0.00,±,0.00,0.10,±,0.06,0.62,±,0.09,1.32,±,0.12,4.33,±,0.24,0.00,±,0.00,0.06,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.08,±,0.06,0.59,±,0.09,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,,,,,,,,,,,,,
HLT_Ele32_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1,"Taus,HIG",9.87,±,0.59,0.00,±,0.00,0.68,±,0.39,0.77,±,0.16,0.60,±,0.09,0.21,±,0.05,0.19,±,0.05,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,2.08,±,0.04,0.00,±,0.00,0.92,±,0.05,0.00,±,0.00,3.03,±,0.36,1.30,±,0.14,0.01,±,0.01,0.04,±,0.02,0.02,±,0.02,,,,,,,,,,,,,
HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2,HIG,9.72,±,2.82,2.79,±,2.79,0.23,±,0.23,0.07,±,0.05,0.00,±,0.00,0.19,±,0.05,0.12,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.22,±,0.03,1.55,±,0.26,0.21,±,0.05,1.71,±,0.15,1.85,±,0.16,0.77,±,0.14,,,,,,,,,,,,,
HLT_QuadJet45_TripleCSV0p5_v2,HIG,9.66,±,0.47,0.00,±,0.00,0.46,±,0.32,0.00,±,0.00,0.46,±,0.08,1.94,±,0.15,5.68,±,0.28,0.00,±,0.00,0.21,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.04,0.83,±,0.11,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,,,,,,,,,,,,,
HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v2,"Taus,HIG",9.54,±,0.44,0.00,±,0.00,0.00,±,0.00,1.71,±,0.24,1.80,±,0.15,0.92,±,0.10,1.01,±,0.12,0.00,±,0.00,0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.64,±,0.02,0.00,±,0.00,0.04,±,0.01,0.00,±,0.00,1.30,±,0.23,2.06,±,0.17,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,,,,,,,,,,,,,
HLT_Mu55_v1,noGoogleDoc,9.53,±,0.42,0.00,±,0.00,0.23,±,0.23,0.07,±,0.05,0.20,±,0.05,1.59,±,0.14,1.54,±,0.14,0.00,±,0.00,0.03,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,2.39,±,0.11,0.08,±,0.06,0.51,±,0.08,0.18,±,0.05,0.87,±,0.11,1.84,±,0.21,,,,,,,,,,,,,
HLT_PFHT450_SixJet40_PFBTagCSV_v2,HIG,9.38,±,2.81,2.79,±,2.79,0.23,±,0.23,0.03,±,0.03,0.51,±,0.08,1.33,±,0.12,3.67,±,0.22,0.00,±,0.00,0.15,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.04,0.59,±,0.09,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,,,,,,,,,,,,,
HLT_PFMETNoMu90_NoiseCleaned_PFMHTNoMu90_IDTight_v2,EXO,9.36,±,0.49,0.00,±,0.00,0.46,±,0.32,0.74,±,0.16,1.30,±,0.13,1.87,±,0.15,3.15,±,0.20,0.00,±,0.00,0.12,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.18,±,0.02,0.22,±,0.03,0.34,±,0.12,0.88,±,0.11,0.00,±,0.00,0.05,±,0.03,0.05,±,0.04,,,,,,,,,,,,,
HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1,noGoogleDoc,9.20,±,0.53,0.00,±,0.00,0.00,±,0.00,2.45,±,0.29,1.29,±,0.13,0.38,±,0.07,0.12,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,3.99,±,0.41,0.79,±,0.11,0.01,±,0.01,0.07,±,0.03,0.07,±,0.04,,,,,,,,,,,,,
HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v2,HIG,9.20,±,3.96,5.58,±,3.94,0.23,±,0.23,1.01,±,0.18,0.58,±,0.09,0.19,±,0.05,0.09,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.01,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,1.05,±,0.21,0.40,±,0.07,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,,,,,,,,,,,,,
HLT_Mu17_Photon30_CaloIdL_L1ISO_v2,HIG,9.16,±,0.45,0.00,±,0.00,0.00,±,0.00,0.27,±,0.09,0.16,±,0.04,0.69,±,0.09,0.44,±,0.08,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.13,±,0.03,1.64,±,0.26,1.27,±,0.13,0.35,±,0.07,2.10,±,0.17,2.09,±,0.23,,,,,,,,,,,,,
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p57_v1,SUSY,8.86,±,0.46,0.00,±,0.00,0.46,±,0.32,0.07,±,0.05,1.15,±,0.12,2.75,±,0.18,3.19,±,0.21,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01,0.00,±,0.00,1.14,±,0.13,0.00,±,0.00,0.01,±,0.01,0.05,±,0.04,,,,,,,,,,,,,
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1,noGoogleDoc,8.82,±,0.58,0.00,±,0.00,0.23,±,0.23,1.41,±,0.22,0.45,±,0.07,0.14,±,0.04,0.13,±,0.04,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.14,±,0.01,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,5.08,±,0.46,1.13,±,0.13,0.01,±,0.01,0.04,±,0.02,0.02,±,0.02,,,,,,,,,,,,,
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq240_v2,HIG,8.71,±,2.81,2.79,±,2.79,0.23,±,0.23,0.00,±,0.00,0.46,±,0.08,1.40,±,0.13,3.15,±,0.20,0.00,±,0.00,0.06,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.04,0.58,±,0.09,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,,,,,,,,,,,,,
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2,"Top,HIG,SMP",8.60,±,2.80,2.79,±,2.79,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.12,±,0.04,0.05,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.01,0.21,±,0.09,0.10,±,0.04,2.84,±,0.20,1.91,±,0.16,0.55,±,0.12,,,,,,,,,,,,,
HLT_Mu17_Mu8_SameSign_v1,HIG,8.39,±,2.81,2.79,±,2.79,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.28,±,0.06,0.25,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.25,±,0.10,0.17,±,0.05,1.68,±,0.15,1.91,±,0.16,1.02,±,0.16,,,,,,,,,,,,,
HLT_MonoCentralPFJet80_PFMETNoMu90_NoiseCleaned_PFMHTNoMu90_IDTight_v2,EXO,8.35,±,0.41,0.00,±,0.00,0.23,±,0.23,0.47,±,0.13,1.22,±,0.12,1.79,±,0.14,3.09,±,0.20,0.00,±,0.00,0.12,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.16,±,0.02,0.22,±,0.03,0.17,±,0.08,0.79,±,0.11,0.00,±,0.00,0.05,±,0.03,0.05,±,0.04,,,,,,,,,,,,,
HLT_Dimuon13_Upsilon_v1,BPH,8.35,±,3.96,5.58,±,3.94,0.46,±,0.32,0.03,±,0.03,0.01,±,0.01,0.08,±,0.03,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.08,±,0.06,0.04,±,0.02,1.33,±,0.14,0.59,±,0.09,0.12,±,0.06,,,,,,,,,,,,,
HLT_Ele27_eta2p1_WPLoose_Gsf_TriCentralPFJet30_v1,Top,8.30,±,0.55,0.00,±,0.00,0.46,±,0.32,0.94,±,0.18,0.93,±,0.11,0.39,±,0.07,0.45,±,0.08,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.20,±,0.01,0.00,±,0.00,0.26,±,0.03,0.00,±,0.00,2.77,±,0.34,1.84,±,0.16,0.00,±,0.00,0.01,±,0.01,0.05,±,0.04,,,,,,,,,,,,,
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v2,HIG,8.25,±,0.51,0.00,±,0.00,0.46,±,0.32,1.01,±,0.18,0.57,±,0.08,0.13,±,0.04,0.08,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,2.79,±,0.04,0.00,±,0.00,0.06,±,0.01,0.00,±,0.00,2.39,±,0.32,0.69,±,0.10,0.00,±,0.00,0.04,±,0.02,0.02,±,0.02,,,,,,,,,,,,,
HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v1,HIG,8.12,±,0.34,0.00,±,0.00,0.00,±,0.00,0.30,±,0.10,1.25,±,0.12,1.18,±,0.12,1.10,±,0.12,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.23,±,0.01,0.00,±,0.00,0.42,±,0.03,0.01,±,0.01,0.34,±,0.12,3.21,±,0.21,0.00,±,0.00,0.03,±,0.02,0.05,±,0.04,,,,,,,,,,,,,
HLT_Dimuon20_Jpsi_v1,BPH,8.09,±,0.35,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.08,±,0.03,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.29,±,0.11,0.04,±,0.02,4.94,±,0.26,2.29,±,0.18,0.42,±,0.10,,,,,,,,,,,,,
HLT_DoubleMu4_3_Jpsi_Displaced_v1,BPH,7.85,±,2.80,2.79,±,2.79,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.05,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.13,±,0.07,0.03,±,0.02,3.85,±,0.23,0.92,±,0.11,0.07,±,0.04,,,,,,,,,,,,,
HLT_Ele25WP60_Ele8_Mass55_v2,E_GAMMA,7.67,±,0.59,0.00,±,0.00,0.91,±,0.46,0.47,±,0.13,0.33,±,0.06,0.20,±,0.05,0.17,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,1.32,±,0.03,0.00,±,0.00,0.72,±,0.05,0.00,±,0.00,2.31,±,0.31,1.14,±,0.13,0.01,±,0.01,0.04,±,0.02,0.02,±,0.02,,,,,,,,,,,,,
HLT_Photon42_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon25_AND_HE10_R9Id65_Eta2_Mass15_v1,EXO,7.35,±,0.45,0.00,±,0.00,0.23,±,0.23,1.04,±,0.19,1.17,±,0.12,0.39,±,0.07,0.33,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,1.06,±,0.03,0.00,±,0.00,0.06,±,0.01,0.00,±,0.00,1.55,±,0.26,1.46,±,0.14,0.00,±,0.00,0.01,±,0.01,0.05,±,0.04,,,,,,,,,,,,,
HLT_PFMET90_PFMHT90_IDTight_v1,HIG,7.22,±,0.40,0.00,±,0.00,0.23,±,0.23,0.60,±,0.14,1.09,±,0.12,1.45,±,0.13,2.36,±,0.18,0.00,±,0.00,0.10,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.18,±,0.02,0.12,±,0.02,0.34,±,0.12,0.69,±,0.10,0.00,±,0.00,0.04,±,0.02,0.02,±,0.02,,,,,,,,,,,,,
HLT_Ele115_CaloIdVT_GsfTrkIdT_v1,noGoogleDoc,7.21,±,0.31,0.00,±,0.00,0.00,±,0.00,0.07,±,0.05,0.33,±,0.06,1.36,±,0.13,3.29,±,0.21,0.00,±,0.00,0.03,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.01,0.00,±,0.00,0.16,±,0.02,0.00,±,0.00,0.00,±,0.00,1.89,±,0.16,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,,,,,,,,,,,,,
HLT_Dimuon8_Upsilon_Barrel_v1,BPH,7.16,±,3.95,5.58,±,3.94,0.23,±,0.23,0.10,±,0.06,0.06,±,0.03,0.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.03,±,0.02,0.79,±,0.10,0.32,±,0.07,0.02,±,0.02,,,,,,,,,,,,,
HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v2,EXO,7.13,±,0.33,0.00,±,0.00,0.00,±,0.00,0.54,±,0.13,1.53,±,0.14,0.86,±,0.10,0.65,±,0.09,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,1.46,±,0.03,0.00,±,0.00,0.04,±,0.01,0.00,±,0.00,0.67,±,0.17,1.23,±,0.13,0.00,±,0.00,0.03,±,0.02,0.12,±,0.06,,,,,,,,,,,,,
HLT_PFHT400_SixJet30_BTagCSV0p5_2PFBTagCSV_v2,HIG,6.86,±,0.38,0.00,±,0.00,0.23,±,0.23,0.10,±,0.06,0.63,±,0.09,1.27,±,0.12,3.69,±,0.22,0.00,±,0.00,0.11,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.13,±,0.07,0.61,±,0.09,0.01,±,0.01,0.01,±,0.01,0.07,±,0.04,,,,,,,,,,,,,
HLT_PFHT800_v1,"SUSY,EXO",6.69,±,0.23,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.05,±,0.02,3.70,±,0.22,0.00,±,0.00,2.89,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,0.01,±,0.01,0.00,±,0.00,,,,,,,,,,,,,
HLT_IsoMu20_eta2p1_CentralPFJet30_BTagCSV07_v2,Top,6.51,±,0.37,0.00,±,0.00,0.23,±,0.23,0.13,±,0.07,0.02,±,0.02,0.09,±,0.03,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,1.34,±,0.08,0.21,±,0.09,0.06,±,0.03,2.86,±,0.20,1.35,±,0.14,0.20,±,0.07,,,,,,,,,,,,,
HLT_Ele15_IsoVVVL_BTagtop8CSV07_PFHT400_v2,SUSY,6.48,±,0.29,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.22,±,0.05,1.20,±,0.12,4.06,±,0.23,0.00,±,0.00,0.05,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.03,±,0.01,0.00,±,0.00,0.04,±,0.04,0.83,±,0.11,0.00,±,0.00,0.00,±,0.00,0.02,±,0.02,,,,,,,,,,,,,
HLT_Photon90_CaloIdL_PFHT500_v2,"SUSY,EXO",6.27,±,0.28,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.05,±,0.02,0.41,±,0.07,5.27,±,0.26,0.00,±,0.00,0.16,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.03,±,0.01,0.00,±,0.00,0.00,±,0.00,0.34,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,,,,,,,,,,,,,
HLT_DoubleMu4_3_Bs_v1,BPH,6.22,±,2.81,2.79,±,2.79,0.23,±,0.23,0.13,±,0.07,0.04,±,0.02,0.02,±,0.02,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.21,±,0.09,0.08,±,0.03,1.77,±,0.16,0.69,±,0.10,0.25,±,0.08,,,,,,,,,,,,,
HLT_Mu17_Photon35_CaloIdL_L1ISO_v2,HIG,6.14,±,0.36,0.00,±,0.00,0.00,±,0.00,0.17,±,0.08,0.06,±,0.03,0.52,±,0.08,0.39,±,0.07,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.11,±,0.02,1.09,±,0.21,1.00,±,0.12,0.17,±,0.05,1.32,±,0.13,1.30,±,0.18,,,,,,,,,,,,,
HLT_HT350_DisplacedDijet40_DisplacedTrack_v2,EXO,6.04,±,2.81,2.79,±,2.79,0.23,±,0.23,0.20,±,0.08,0.68,±,0.09,0.73,±,0.09,0.51,±,0.08,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.13,±,0.07,0.73,±,0.10,0.00,±,0.00,0.01,±,0.01,0.02,±,0.02,,,,,,,,,,,,,
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v2,"Top,HIG,SMP",5.99,±,0.31,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.15,±,0.04,0.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.01,0.25,±,0.10,0.17,±,0.05,2.80,±,0.20,2.10,±,0.17,0.42,±,0.10,,,,,,,,,,,,,
HLT_PFHT750_4JetPt50_v1,EXO,5.94,±,0.26,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.01,0.08,±,0.03,4.80,±,0.25,0.00,±,0.00,1.04,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,,,,,,,,,,,,,
HLT_Ele32_eta2p1_WPLoose_Gsf_TriCentralPFJet30_v1,Top,5.71,±,0.36,0.00,±,0.00,0.00,±,0.00,0.47,±,0.13,0.76,±,0.10,0.32,±,0.06,0.39,±,0.07,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.18,±,0.01,0.00,±,0.00,0.22,±,0.03,0.00,±,0.00,1.76,±,0.27,1.55,±,0.15,0.00,±,0.00,0.00,±,0.00,0.05,±,0.04,,,,,,,,,,,,,
HLT_Mu30_TkMu11_v2,EXO,5.70,±,0.38,0.00,±,0.00,0.23,±,0.23,0.00,±,0.00,0.02,±,0.02,0.76,±,0.09,0.77,±,0.10,0.00,±,0.00,0.03,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.09,±,0.02,0.08,±,0.06,0.35,±,0.07,0.39,±,0.07,1.28,±,0.13,1.69,±,0.21,,,,,,,,,,,,,
HLT_Ele27_eta2p1_WPLoose_Gsf_TriCentralPFJet50_40_30_v1,Top,5.39,±,0.41,0.00,±,0.00,0.23,±,0.23,0.54,±,0.13,0.77,±,0.10,0.34,±,0.06,0.43,±,0.08,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.14,±,0.01,0.00,±,0.00,0.16,±,0.02,0.00,±,0.00,1.30,±,0.23,1.41,±,0.14,0.00,±,0.00,0.01,±,0.01,0.05,±,0.04,,,,,,,,,,,,,
HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Loose_v2,EXO,5.17,±,0.43,0.00,±,0.00,0.46,±,0.32,0.17,±,0.08,0.09,±,0.03,0.41,±,0.07,0.36,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.21,±,0.09,0.25,±,0.06,0.66,±,0.10,1.47,±,0.14,1.07,±,0.16,,,,,,,,,,,,,
HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50_v2,B2G,5.14,±,0.26,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.03,0.79,±,0.10,3.66,±,0.22,0.00,±,0.00,0.05,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.00,0.00,±,0.00,0.07,±,0.01,0.00,±,0.00,0.00,±,0.00,0.49,±,0.08,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,,,,,,,,,,,,,
HLT_PFHT250_DiPFJetAve90_PFAlphaT0p55_v1,SUSY,5.12,±,0.26,0.00,±,0.00,0.00,±,0.00,0.13,±,0.07,0.58,±,0.09,1.68,±,0.14,1.88,±,0.16,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.01,±,0.01,0.04,±,0.04,0.73,±,0.10,0.01,±,0.01,0.00,±,0.00,0.02,±,0.02,,,,,,,,,,,,,
