Path,Group,Total rate (Hz),,,QCDPt15to30,,,QCDPt30to50,,,QCDPt50to80,,,QCDPt80to120,,,QCDPt120to170,,,QCDPt170to300,,,QCDPt300to470,,,QCDPt470to600,,,QCDPt600to800,,,QCDPt800to1000,,,QCDPt1000to1400,,,QCDPt1400to1800,,,QCDPt1800,,,DYToEE,,,DYToMuMu,,,WToENu,,,WToMuNu,,,QCDEMPt30to80,,,QCDEMPt80to120,,,QCDMuPt30to50,,,QCDMuPt50to80,,,QCDMuPt80to120,,,,Total QCD rate (Hz),,,Total QCD 30to80,,,Total QCD 80to170,,,Total EW rate (Hz),,
HLT_IsoTkMu24_eta2p1_v2,"SMP,HIG",51.94,±,5.61,11.15,±,5.58,0.00,±,0.00,0.03,±,0.03,0.00,±,0.00,0.08,±,0.03,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,27.69,±,0.37,1.13,±,0.22,0.10,±,0.04,8.18,±,0.34,3.05,±,0.20,0.50,±,0.11,,,,,,,,,,,,,
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v2,BPH,46.41,±,8.39,25.09,±,8.36,0.46,±,0.32,0.13,±,0.07,0.05,±,0.02,0.25,±,0.05,0.07,±,0.03,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.88,±,0.19,0.30,±,0.06,13.00,±,0.42,4.44,±,0.25,1.74,±,0.21,,,,,,,,,,,,,
HLT_BTagMu_DiJet70_Mu5_v2,BTV,45.53,±,2.95,2.79,±,2.79,0.68,±,0.39,0.74,±,0.16,2.63,±,0.18,10.75,±,0.36,5.67,±,0.27,0.00,±,0.00,0.06,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,1.39,±,0.24,4.66,±,0.26,0.12,±,0.04,3.27,±,0.21,12.75,±,0.56,,,,,,,,,,,,,
HLT_IsoTkMu27_v2,"SMP,HIG",41.89,±,3.98,5.58,±,3.94,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.06,±,0.03,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,27.50,±,0.37,0.76,±,0.18,0.13,±,0.04,4.68,±,0.25,2.57,±,0.19,0.60,±,0.12,,,,,,,,,,,,,
HLT_IsoMu27_v2,"SMP,HIG",40.95,±,2.84,2.79,±,2.79,0.00,±,0.00,0.07,±,0.05,0.00,±,0.00,0.12,±,0.04,0.01,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,27.95,±,0.37,1.05,±,0.21,0.13,±,0.04,5.36,±,0.27,2.81,±,0.20,0.67,±,0.13,,,,,,,,,,,,,
HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v2,HIG,24.17,±,2.93,2.79,±,2.79,1.14,±,0.51,0.74,±,0.16,0.25,±,0.06,0.35,±,0.06,0.24,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.00,0.00,±,0.00,0.08,±,0.02,0.24,±,0.03,7.94,±,0.58,0.89,±,0.11,4.38,±,0.25,3.63,±,0.22,1.49,±,0.19,,,,,,,,,,,,,
HLT_BTagMu_DiJet20_Mu5_v2,BTV,22.75,±,2.93,2.79,±,2.79,2.05,±,0.68,0.81,±,0.16,0.27,±,0.06,0.76,±,0.09,0.31,±,0.06,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,1.89,±,0.28,0.45,±,0.08,5.98,±,0.29,5.15,±,0.27,2.29,±,0.24,,,,,,,,,,,,,
HLT_BTagMu_DiJet40_Mu5_v2,BTV,22.71,±,0.88,0.00,±,0.00,1.60,±,0.60,1.21,±,0.20,0.58,±,0.09,1.54,±,0.13,0.64,±,0.09,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,1.81,±,0.28,0.85,±,0.11,3.24,±,0.21,6.98,±,0.31,4.26,±,0.33,,,,,,,,,,,,,
HLT_Mu45_eta2p1_v1,EXO,22.38,±,0.63,0.00,±,0.00,0.23,±,0.23,0.10,±,0.06,0.33,±,0.06,3.09,±,0.19,2.22,±,0.17,0.00,±,0.00,0.04,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,4.91,±,0.16,1.01,±,0.21,1.20,±,0.13,0.59,±,0.09,3.28,±,0.21,5.36,±,0.37,,,,,,,,,,,,,
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1,"Taus,HIG",19.79,±,2.93,2.79,±,2.79,1.82,±,0.64,1.51,±,0.23,0.73,±,0.10,0.24,±,0.05,0.20,±,0.05,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,2.52,±,0.04,0.00,±,0.00,1.29,±,0.06,0.00,±,0.00,7.02,±,0.54,1.54,±,0.15,0.06,±,0.03,0.04,±,0.02,0.02,±,0.02,,,,,,,,,,,,,
