HLT Path,L1 Seeds,L1 pre scale,HLT pre scale,Total,,, QCD15to30,,,QCD30to50,,,QCD50to80,,,QCD80to120,,,QCD120to170,,,QCD170to300,,,QCD300to470,,,QCD470to600,,,EMEnr30to80,,,EMEnr80to170,,,MuEnr30to50,,,MuEnr50to80,,,MuEnr80to120,,,WToENu,,,ZToEE,,,WToMuNu,,,ZToMuMu,,
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200_v2 , L1_TripleJet_92_76_64_VBF ,1,1,47.98,+-,3.28,3.27,+/-,3.27,0.00,+/-,0.00,0.60,+/-,0.14,6.51,+/-,0.17,13.04,+/-,0.10,15.24,+/-,0.07,2.27,+/-,0.01,0.25,+/-,0.00,0.20,+/-,0.05,5.77,+/-,0.07,0.00,+/-,0.00,0.04,+/-,0.01,0.75,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v2 , L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18 , 1 1 1 ,1,46.82,+-,8.02,19.61,+/-,8.01,0.46,+/-,0.33,0.07,+/-,0.05,0.05,+/-,0.02,0.38,+/-,0.02,0.14,+/-,0.01,0.01,+/-,0.00,0.00,+/-,0.00,1.02,+/-,0.12,0.27,+/-,0.01,16.59,+/-,0.25,6.46,+/-,0.08,1.66,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Ele32_eta2p1_WPTight_Gsf_v1 , L1_SingleIsoEG30er OR L1_SingleEG40 , 1 1 ,1,44.44,+-,0.99,0.00,+/-,0.00,3.00,+/-,0.83,2.88,+/-,0.31,0.99,+/-,0.07,0.36,+/-,0.02,0.47,+/-,0.01,0.06,+/-,0.00,0.01,+/-,0.00,10.02,+/-,0.38,2.67,+/-,0.05,0.06,+/-,0.02,0.13,+/-,0.01,0.07,+/-,0.00,19.64,+/-,0.16,4.13,+/-,0.05,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Ele25WP60_SC4_Mass55_v2 , L1_SingleEG25 ,1,1,41.24,+-,3.42,3.27,+/-,3.27,2.77,+/-,0.80,3.48,+/-,0.34,1.76,+/-,0.09,0.73,+/-,0.02,0.85,+/-,0.02,0.09,+/-,0.00,0.01,+/-,0.00,12.85,+/-,0.43,4.79,+/-,0.06,0.06,+/-,0.01,0.11,+/-,0.01,0.09,+/-,0.00,6.03,+/-,0.08,4.53,+/-,0.05,0.01,+/-,0.00,0.00,+/-,0.00
HLT_Mu45_eta2p1_v2 , L1_SingleMu16 OR L1_SingleMu25 , 1 1 ,1,30.78,+-,0.24,0.00,+/-,0.00,0.00,+/-,0.00,0.27,+/-,0.09,0.37,+/-,0.04,4.05,+/-,0.05,2.94,+/-,0.03,0.44,+/-,0.00,0.05,+/-,0.00,1.08,+/-,0.12,1.51,+/-,0.04,0.80,+/-,0.05,4.06,+/-,0.06,6.00,+/-,0.04,0.00,+/-,0.00,0.00,+/-,0.00,6.65,+/-,0.09,2.45,+/-,0.04
HLT_DoubleMu4_JpsiTrk_Displaced_v2 , L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18 , 1 1 1 ,1,25.23,+-,6.55,13.07,+/-,6.54,0.69,+/-,0.40,0.20,+/-,0.08,0.00,+/-,0.00,0.10,+/-,0.01,0.03,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.52,+/-,0.09,0.07,+/-,0.01,7.71,+/-,0.17,2.23,+/-,0.05,0.47,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq240_v2 , L1_TripleJet_92_76_64_VBF ,1,1,21.87,+-,3.27,3.27,+/-,3.27,0.00,+/-,0.00,0.13,+/-,0.07,2.90,+/-,0.11,5.66,+/-,0.06,6.04,+/-,0.04,0.76,+/-,0.00,0.07,+/-,0.00,0.11,+/-,0.04,2.58,+/-,0.05,0.00,+/-,0.00,0.01,+/-,0.00,0.34,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_PFHT800_v1 , L1_HTT150 OR L1_HTT175 , 1 1 ,1,21.55,+-,0.06,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.03,0.00,+/-,0.00,0.03,+/-,0.00,4.44,+/-,0.04,13.02,+/-,0.02,4.04,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV0p41_v2 , L1_SingleJet176 OR L1_SingleJet200 , 1 1 ,1,20.78,+-,0.06,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.03,0.00,+/-,0.00,0.00,+/-,0.00,3.76,+/-,0.03,14.61,+/-,0.02,2.43,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Mu50_v2 , L1_SingleMu16 OR L1_SingleMu25 , 1 1 ,1,20.68,+-,0.19,0.00,+/-,0.00,0.00,+/-,0.00,0.13,+/-,0.07,0.29,+/-,0.04,3.03,+/-,0.05,2.43,+/-,0.03,0.39,+/-,0.00,0.05,+/-,0.00,0.61,+/-,0.09,1.04,+/-,0.03,0.35,+/-,0.04,2.07,+/-,0.04,3.86,+/-,0.03,0.00,+/-,0.00,0.00,+/-,0.00,4.70,+/-,0.07,1.64,+/-,0.03
