HLT Path,L1 Seeds,L1 pre scale,HLT pre scale,Total,,, QCD15to30,,,QCD30to50,,,QCD50to80,,,QCD80to120,,,QCD120to170,,,QCD170to300,,,QCD300to470,,,QCD470to600,,,EMEnr30to80,,,EMEnr80to170,,,MuEnr30to50,,,MuEnr50to80,,,MuEnr80to120,,,WToENu,,,ZToEE,,,WToMuNu,,,ZToMuMu,,
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1 , L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10 , 1 1 1 1 ,1,12.13,+-,0.67,0.00,+/-,0.00,1.15,+/-,0.52,1.64,+/-,0.23,0.67,+/-,0.05,0.14,+/-,0.01,0.18,+/-,0.01,0.02,+/-,0.00,0.00,+/-,0.00,6.45,+/-,0.30,1.68,+/-,0.04,0.01,+/-,0.01,0.04,+/-,0.01,0.02,+/-,0.00,0.01,+/-,0.00,0.04,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_LooseIsoPFTau50_Trk30_eta2p1_MET80_v2 , L1_ETM50 OR L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 , 1 1 1 ,1,11.70,+-,3.28,3.27,+/-,3.27,0.23,+/-,0.23,0.37,+/-,0.11,0.78,+/-,0.06,1.24,+/-,0.03,2.66,+/-,0.03,0.89,+/-,0.00,0.16,+/-,0.00,0.20,+/-,0.05,1.05,+/-,0.03,0.00,+/-,0.00,0.03,+/-,0.01,0.13,+/-,0.01,0.16,+/-,0.01,0.01,+/-,0.00,0.41,+/-,0.02,0.08,+/-,0.01
HLT_Mu30_TkMu11_v2 , L1_SingleMu16 OR L1_SingleMu25 , 1 1 ,1,11.55,+-,0.11,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.01,1.21,+/-,0.03,1.12,+/-,0.02,0.22,+/-,0.00,0.04,+/-,0.00,0.18,+/-,0.05,0.48,+/-,0.02,0.36,+/-,0.04,1.61,+/-,0.04,1.93,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,0.08,+/-,0.01,4.24,+/-,0.05
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1 , L1_SingleIsoEG22er OR L1_SingleEG25 , 1 1 ,1,11.04,+-,0.50,0.00,+/-,0.00,0.69,+/-,0.40,0.64,+/-,0.15,0.42,+/-,0.04,0.16,+/-,0.01,0.22,+/-,0.01,0.03,+/-,0.00,0.00,+/-,0.00,3.15,+/-,0.21,0.99,+/-,0.03,0.03,+/-,0.01,0.04,+/-,0.01,0.03,+/-,0.00,1.31,+/-,0.04,3.38,+/-,0.04,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Ele27_eta2p1_WPLoose_Gsf_CentralPFJet30_BTagCSV07_v1 , L1_SingleIsoEG22er OR L1_SingleEG25 , 1 1 ,1,10.84,+-,0.64,0.00,+/-,0.00,1.15,+/-,0.52,1.77,+/-,0.24,0.77,+/-,0.06,0.33,+/-,0.02,0.38,+/-,0.01,0.06,+/-,0.00,0.01,+/-,0.00,3.56,+/-,0.22,1.42,+/-,0.03,0.06,+/-,0.02,0.15,+/-,0.01,0.10,+/-,0.00,0.75,+/-,0.03,0.20,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Photon90_CaloIdL_PFHT500_v2 , L1_SingleEG40 ,1,1,10.74,+-,0.06,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.01,0.50,+/-,0.02,6.93,+/-,0.05,2.66,+/-,0.01,0.24,+/-,0.00,0.00,+/-,0.00,0.35,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.02,+/-,0.00,0.02,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_PFHT400_SixJet30_BTagCSV0p5_2PFBTagCSV_v2 , L1_HTT175 ,1,1,9.61,+-,0.36,0.00,+/-,0.00,0.46,+/-,0.33,0.07,+/-,0.05,1.06,+/-,0.07,2.19,+/-,0.04,3.59,+/-,0.03,0.74,+/-,0.00,0.10,+/-,0.00,0.10,+/-,0.04,1.17,+/-,0.03,0.00,+/-,0.00,0.01,+/-,0.00,0.13,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v2 , L1_SingleEG40 OR L1_SingleEG35 OR L1_SingleEG30 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_SingleJet200 , 1 1 1 1 1 1 ,1,9.47,+-,0.22,0.00,+/-,0.00,0.00,+/-,0.00,0.60,+/-,0.14,1.73,+/-,0.09,1.13,+/-,0.03,0.83,+/-,0.02,0.08,+/-,0.00,0.01,+/-,0.00,0.92,+/-,0.11,1.83,+/-,0.04,0.00,+/-,0.00,0.02,+/-,0.00,0.07,+/-,0.00,0.05,+/-,0.01,2.12,+/-,0.03,0.00,+/-,0.00,0.00,+/-,0.00
HLT_BTagMu_DiJet20_Mu5_v2 , L1_Mu3_JetC16_WdEtaPhi2 ,200,2,9.33,+-,0.47,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_BTagMu_DiJet110_Mu5_v2 , L1_Mu3_JetC52_WdEtaPhi2 ,10,1,9.24,+-,3.27,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.00,0.06,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v1 , L1_EG25er_HTT125 ,1,1,8.99,+-,0.18,0.00,+/-,0.00,0.00,+/-,0.00,0.30,+/-,0.10,1.06,+/-,0.07,0.96,+/-,0.03,1.11,+/-,0.02,0.13,+/-,0.00,0.01,+/-,0.00,0.74,+/-,0.10,3.58,+/-,0.05,0.00,+/-,0.00,0.01,+/-,0.00,0.06,+/-,0.00,0.64,+/-,0.03,0.32,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Dimuon8_Upsilon_Barrel_v2 , L1_DoubleMu0_Eta1p6_WdEta18 ,1,2,8.77,+-,4.63,6.54,+/-,4.62,0.46,+/-,0.33,0.20,+/-,0.08,0.02,+/-,0.01,0.03,+/-,0.00,0.02,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.14,+/-,0.04,0.02,+/-,0.00,1.01,+/-,0.06,0.44,+/-,0.02,0.13,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.08,+/-,0.01
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1 , L1_IsoEG20er_TauJet20er_NotWdEta0 ,1,1,8.61,+-,0.54,0.00,+/-,0.00,0.92,+/-,0.46,0.60,+/-,0.14,0.37,+/-,0.04,0.15,+/-,0.01,0.21,+/-,0.01,0.03,+/-,0.00,0.00,+/-,0.00,2.07,+/-,0.17,0.79,+/-,0.03,0.03,+/-,0.01,0.03,+/-,0.01,0.03,+/-,0.00,0.69,+/-,0.03,2.68,+/-,0.04,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Ele32_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1 , L1_SingleIsoEG30er OR L1_SingleEG40 , 1 1 ,1,8.57,+-,0.41,0.00,+/-,0.00,0.46,+/-,0.33,0.44,+/-,0.12,0.36,+/-,0.04,0.15,+/-,0.01,0.21,+/-,0.01,0.03,+/-,0.00,0.00,+/-,0.00,2.00,+/-,0.17,0.88,+/-,0.03,0.01,+/-,0.01,0.02,+/-,0.00,0.02,+/-,0.00,1.06,+/-,0.03,2.94,+/-,0.04,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Ele105_CaloIdVT_GsfTrkIdT_v2 , L1_SingleEG35 OR L1_SingleEG40 OR L1_SingleJet200 , 1 1 1 ,1,8.35,+-,0.09,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.03,0.45,+/-,0.04,1.61,+/-,0.03,3.02,+/-,0.03,0.35,+/-,0.00,0.03,+/-,0.00,0.06,+/-,0.03,2.38,+/-,0.04,0.00,+/-,0.00,0.00,+/-,0.00,0.02,+/-,0.00,0.28,+/-,0.02,0.10,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00
HLT_IsoMu16_eta2p1_CaloMET30_v2 , L1_Mu14er_ETM30 ,1,1,8.09,+-,0.16,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.03,0.03,+/-,0.01,0.11,+/-,0.01,0.04,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.77,+/-,0.10,0.13,+/-,0.01,1.51,+/-,0.07,1.56,+/-,0.04,0.51,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,2.93,+/-,0.06,0.53,+/-,0.02
HLT_Mu17_Photon30_CaloIdL_L1ISO_v2 , L1_Mu5_IsoEG18 ,1,1,8.04,+-,0.30,0.00,+/-,0.00,0.23,+/-,0.23,0.00,+/-,0.00,0.07,+/-,0.02,0.78,+/-,0.02,0.69,+/-,0.01,0.11,+/-,0.00,0.01,+/-,0.00,1.50,+/-,0.15,1.12,+/-,0.03,0.30,+/-,0.03,1.54,+/-,0.04,1.45,+/-,0.02,0.02,+/-,0.00,0.00,+/-,0.00,0.15,+/-,0.01,0.06,+/-,0.01
HLT_Ele32_eta2p1_WPLoose_Gsf_CentralPFJet30_BTagCSV07_v1 , L1_SingleIsoEG30er OR L1_SingleEG40 , 1 1 ,1,7.79,+-,0.55,0.00,+/-,0.00,0.92,+/-,0.46,1.00,+/-,0.18,0.64,+/-,0.05,0.29,+/-,0.01,0.37,+/-,0.01,0.05,+/-,0.00,0.01,+/-,0.00,2.11,+/-,0.17,1.27,+/-,0.03,0.02,+/-,0.01,0.09,+/-,0.01,0.08,+/-,0.00,0.61,+/-,0.03,0.18,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Photon165_HE10_v2 , L1_SingleEG40 OR L1_SingleJet200 , 1 1 ,1,7.75,+-,0.05,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.04,+/-,0.01,0.39,+/-,0.02,5.28,+/-,0.04,1.45,+/-,0.01,0.13,+/-,0.00,0.00,+/-,0.00,0.39,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.05,+/-,0.01,0.02,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Mu17_Mu8_SameSign_v2 , L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5 , 1 1 ,1,7.59,+-,0.28,0.00,+/-,0.00,0.23,+/-,0.23,0.03,+/-,0.03,0.00,+/-,0.00,0.53,+/-,0.02,0.32,+/-,0.01,0.05,+/-,0.00,0.01,+/-,0.00,0.31,+/-,0.07,0.19,+/-,0.01,2.10,+/-,0.09,2.31,+/-,0.05,1.43,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.01,0.04,+/-,0.00
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq460_v2 , L1_TripleJet_92_76_64_VBF ,1,1,7.54,+-,0.12,0.00,+/-,0.00,0.00,+/-,0.00,0.10,+/-,0.06,1.44,+/-,0.08,2.33,+/-,0.04,1.97,+/-,0.02,0.18,+/-,0.00,0.01,+/-,0.00,0.11,+/-,0.04,1.25,+/-,0.03,0.00,+/-,0.00,0.01,+/-,0.00,0.12,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_PFHT450_SixJet40_PFBTagCSV_v2 , L1_HTT175 ,1,1,7.52,+-,0.09,0.00,+/-,0.00,0.00,+/-,0.00,0.13,+/-,0.07,0.38,+/-,0.04,1.42,+/-,0.03,3.72,+/-,0.03,1.04,+/-,0.00,0.16,+/-,0.00,0.01,+/-,0.01,0.69,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v2 , L1_DoubleEG_15_10 ,1,1,7.34,+-,0.39,0.00,+/-,0.00,0.46,+/-,0.33,0.37,+/-,0.11,0.21,+/-,0.03,0.09,+/-,0.01,0.11,+/-,0.01,0.01,+/-,0.00,0.00,+/-,0.00,1.40,+/-,0.14,0.40,+/-,0.02,0.01,+/-,0.01,0.03,+/-,0.00,0.01,+/-,0.00,0.06,+/-,0.01,4.12,+/-,0.05,0.00,+/-,0.00,0.00,+/-,0.00
HLT_AK8PFJet360_TrimMass30_v2 , L1_SingleJet176 OR L1_SingleJet200 , 1 1 ,1,7.24,+-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.58,+/-,0.01,4.17,+/-,0.01,2.50,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Photon175_v2 , L1_SingleEG40 OR L1_SingleJet200 , 1 1 ,1,7.17,+-,0.05,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.02,+/-,0.01,0.26,+/-,0.01,4.51,+/-,0.04,1.89,+/-,0.01,0.20,+/-,0.00,0.00,+/-,0.00,0.24,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.04,+/-,0.01,0.02,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_IsoMu20_eta2p1_CentralPFJet30_BTagCSV07_v2 , L1_SingleMu16 ,1,1,6.92,+-,0.38,0.00,+/-,0.00,0.46,+/-,0.33,0.20,+/-,0.08,0.01,+/-,0.01,0.05,+/-,0.01,0.03,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.41,+/-,0.08,0.07,+/-,0.01,2.61,+/-,0.10,1.52,+/-,0.04,0.34,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.98,+/-,0.03,0.24,+/-,0.01
HLT_BTagMu_DiJet40_Mu5_v2 , L1_Mu3_JetC16_WdEtaPhi2 ,200,1,6.88,+-,0.19,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_BTagMu_DiJet70_Mu5_v2 , L1_Mu3_JetC52_WdEtaPhi2 ,10,4,6.63,+-,0.10,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.00,0.02,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.00,0.04,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Mu40_TkMu11_v2 , L1_SingleMu16 OR L1_SingleMu25 , 1 1 ,1,6.62,+-,0.07,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.02,+/-,0.01,0.67,+/-,0.02,0.77,+/-,0.02,0.18,+/-,0.00,0.03,+/-,0.00,0.06,+/-,0.03,0.23,+/-,0.01,0.03,+/-,0.01,0.43,+/-,0.02,0.83,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.07,+/-,0.01,3.32,+/-,0.04
HLT_PFJet450_v2 , L1_SingleJet200 ,1,1,6.61,+-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.24,+/-,0.01,3.15,+/-,0.01,3.23,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v2 , L1_DoubleEG_22_10 ,1,1,6.61,+-,0.38,0.00,+/-,0.00,0.46,+/-,0.33,0.27,+/-,0.09,0.21,+/-,0.03,0.09,+/-,0.01,0.11,+/-,0.01,0.01,+/-,0.00,0.00,+/-,0.00,1.05,+/-,0.12,0.39,+/-,0.02,0.01,+/-,0.01,0.02,+/-,0.00,0.01,+/-,0.00,0.05,+/-,0.01,3.88,+/-,0.05,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v2 , L1_Mu5_EG20 ,1,1,6.36,+-,0.32,0.00,+/-,0.00,0.23,+/-,0.23,0.13,+/-,0.07,0.05,+/-,0.02,0.22,+/-,0.01,0.16,+/-,0.01,0.02,+/-,0.00,0.00,+/-,0.00,2.13,+/-,0.17,0.60,+/-,0.02,0.92,+/-,0.06,1.21,+/-,0.03,0.60,+/-,0.01,0.05,+/-,0.01,0.01,+/-,0.00,0.09,+/-,0.01,0.02,+/-,0.00
HLT_RsqMR240_Rsq0p09_MR200_4jet_v1 , L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_SingleJet176 OR L1_SingleJet200 OR L1_DoubleJetC84 OR L1_DoubleJetC100 OR L1_QuadJetC40 OR L1_QuadJetC60 , 1 1 1 1 1 1 1 1 1 1 ,1,6.31,+-,3.27,3.27,+/-,3.27,0.00,+/-,0.00,0.10,+/-,0.06,0.39,+/-,0.04,0.89,+/-,0.03,1.11,+/-,0.02,0.09,+/-,0.00,0.01,+/-,0.00,0.01,+/-,0.01,0.33,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Dimuon13_Upsilon_v2 , L1_DoubleMu_10_0_WdEta18 ,1,1,6.22,+-,3.27,3.27,+/-,3.27,0.00,+/-,0.00,0.10,+/-,0.06,0.01,+/-,0.01,0.07,+/-,0.01,0.03,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.11,+/-,0.04,0.04,+/-,0.01,1.54,+/-,0.08,0.76,+/-,0.03,0.25,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.00,0.11,+/-,0.01
HLT_DiPFJetAve220_HFJEC_v2 , L1_SingleJet176 ,1,1,6.15,+-,0.04,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.06,+/-,0.01,4.57,+/-,0.04,1.46,+/-,0.01,0.05,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Mu8_v2 , L1_SingleMu5 ,250,10,6.09,+-,3.27,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Mu17_Photon35_CaloIdL_L1ISO_v2 , L1_Mu5_IsoEG18 ,1,1,6.05,+-,0.14,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.07,+/-,0.02,0.72,+/-,0.02,0.66,+/-,0.01,0.10,+/-,0.00,0.01,+/-,0.00,0.92,+/-,0.11,1.00,+/-,0.03,0.12,+/-,0.02,1.00,+/-,0.03,1.21,+/-,0.02,0.01,+/-,0.00,0.00,+/-,0.00,0.11,+/-,0.01,0.04,+/-,0.00
HLT_Mu16_TkMu0_dEta18_Phi_v2 , L1_SingleMu14er OR L1_SingleMu16 , 1 200 ,1,5.95,+-,0.13,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.04,+/-,0.01,0.35,+/-,0.02,0.26,+/-,0.01,0.05,+/-,0.00,0.01,+/-,0.00,0.23,+/-,0.06,0.19,+/-,0.01,2.04,+/-,0.09,1.79,+/-,0.04,0.90,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_PFHT650_WideJetMJJ900DEtaJJ1p5_v2 , L1_HTT150 OR L1_HTT175 , 1 1 ,1,5.81,+-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.16,+/-,0.01,3.33,+/-,0.01,2.33,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Dimuon13_PsiPrime_v2 , L1_DoubleMu_10_0_WdEta18 ,1,1,5.74,+-,3.27,3.27,+/-,3.27,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.04,+/-,0.01,0.02,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.11,+/-,0.04,0.03,+/-,0.00,1.57,+/-,0.08,0.54,+/-,0.02,0.17,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_PFMET100_PFMHT100_IDTight_v1 , L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 OR L1_DoubleJetC56_ETM60 , 1 1 1 ,1,5.72,+-,0.26,0.00,+/-,0.00,0.23,+/-,0.23,0.17,+/-,0.07,0.60,+/-,0.05,1.17,+/-,0.03,1.89,+/-,0.02,0.51,+/-,0.00,0.10,+/-,0.00,0.03,+/-,0.02,0.37,+/-,0.02,0.00,+/-,0.00,0.01,+/-,0.00,0.03,+/-,0.00,0.26,+/-,0.02,0.00,+/-,0.00,0.32,+/-,0.02,0.01,+/-,0.00
HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1_v2 , L1_SingleMu16er ,1,1,5.68,+-,0.15,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.03,0.00,+/-,0.00,0.03,+/-,0.00,0.02,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.71,+/-,0.10,0.08,+/-,0.01,1.73,+/-,0.08,0.65,+/-,0.02,0.14,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,1.80,+/-,0.05,0.51,+/-,0.02
HLT_Ele15_IsoVVVL_BTagtop8CSV07_PFHT400_v2 , L1_HTT150 OR L1_HTT175 , 1 1 ,1,5.50,+-,0.05,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.11,+/-,0.02,0.77,+/-,0.02,3.35,+/-,0.03,0.66,+/-,0.00,0.06,+/-,0.00,0.00,+/-,0.00,0.52,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,0.02,+/-,0.00,0.02,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Dimuon8_PsiPrime_Barrel_v2 , L1_DoubleMu0_Eta1p6_WdEta18 ,1,1,5.50,+-,3.27,3.27,+/-,3.27,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.04,+/-,0.01,0.02,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.13,+/-,0.04,0.02,+/-,0.00,1.38,+/-,0.07,0.50,+/-,0.02,0.16,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Dimuon0_Jpsi_Muon_v2 , L1_TripleMu0 ,1,1,5.40,+-,3.28,3.27,+/-,3.27,0.23,+/-,0.23,0.00,+/-,0.00,0.01,+/-,0.01,0.03,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.04,+/-,0.02,0.02,+/-,0.00,1.20,+/-,0.07,0.44,+/-,0.02,0.13,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_MW_v2 , L1_SingleEG40 OR L1_SingleEG35 OR L1_SingleEG30 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_SingleJet200 , 1 1 1 1 1 1 ,1,5.14,+-,0.14,0.00,+/-,0.00,0.00,+/-,0.00,0.27,+/-,0.09,0.59,+/-,0.05,0.41,+/-,0.02,0.36,+/-,0.01,0.04,+/-,0.00,0.00,+/-,0.00,0.44,+/-,0.08,0.90,+/-,0.03,0.00,+/-,0.00,0.01,+/-,0.00,0.03,+/-,0.00,0.03,+/-,0.01,2.09,+/-,0.03,0.00,+/-,0.00,0.00,+/-,0.00
HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu80_v2 , L1_ETM50 ,1,3,5.05,+-,0.28,0.00,+/-,0.00,0.46,+/-,0.33,0.40,+/-,0.12,1.08,+/-,0.07,1.16,+/-,0.03,1.10,+/-,0.02,0.14,+/-,0.00,0.02,+/-,0.00,0.18,+/-,0.05,0.55,+/-,0.02,0.00,+/-,0.00,0.01,+/-,0.00,0.08,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00
HLT_Dimuon0_Upsilon_Muon_v2 , L1_TripleMu0 ,1,1,5.02,+-,3.27,3.27,+/-,3.27,0.00,+/-,0.00,0.03,+/-,0.03,0.02,+/-,0.01,0.03,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.10,+/-,0.04,0.03,+/-,0.00,0.96,+/-,0.06,0.40,+/-,0.02,0.13,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.00
HLT_PFHT250_DiPFJetAve90_PFAlphaT0p58_v1 , L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_HTT200 OR L1_HTT250 OR L1_ETM40 OR L1_ETM50 OR L1_ETM60 OR L1_ETM70 OR L1_ETM100 , 1 1 1 1 1 1 1 1 4000 1 ,1,4.63,+-,0.26,0.00,+/-,0.00,0.23,+/-,0.23,0.13,+/-,0.07,0.56,+/-,0.05,1.19,+/-,0.03,1.86,+/-,0.02,0.09,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.01,0.46,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00
